@relation corpus_sms-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-no-replacement-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement

@attribute text string
@attribute classID {ham,spam}

@data
'A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked hw cn u run so fast? D boy replied \"Boost is d secret of my energy\" n instantly d girl shouted \"our energy\" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs[EMOJI][EMOJI]: gud ni8',ham
'Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?',ham
'Can ü send me a copy of da report?',ham
'So im doing a list of buyers.',ham
'If you ask her or she say any please message.',ham
'Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up...',ham
'I enjoy watching and playing football and basketball. Anything outdoors. And you?',ham
'Just getting back home',ham
'Goodnight da thangam I really miss u dear.',ham
'Cbe is really good nowadays[EMOJI]lot of shop and showrooms[EMOJI]city is shaping good.',ham
'My sister in law, hope you are having a great month. Just saying hey. Abiola',ham
'This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...',ham
'Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;',ham
'I was slept that time.you there?',ham
'*deep sigh* ... I miss you [EMOJI] ... I am really surprised you havent gone to the net cafe yet to get to me ... Dont you miss me?',ham
'Happy birthday... May u find ur prince charming soon n dun work too hard...',ham
'I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT[EMOJI]',ham
'Dont forget who owns you and whos private property you are ... And be my good boy always .. *passionate kiss*',ham
'Just got outta class gonna go gym.',ham
'Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..',ham
'Yup. Thk of u oso boring wat.',ham
'As I entered my cabin my PA said,  Happy Bday Boss !!. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.',ham
'Hey come online! Use msn... We are all there',ham
'Excellent! Wish we were together right now!',ham
'Evry Emotion dsnt hav Words.Evry Wish dsnt hav Prayrs.. If u Smile,D World is wit u.Othrwise even d Drop of Tear dsnt lik 2 Stay wit u.So b happy.. Good morning, keep smiling[EMOJI]',ham
'How long before you get reply, just defer admission til next semester',ham
'Just checked out, heading out to drop off my stuff now',ham
'Which is why i never wanted to tell you any of this. Which is why im so short with you and on-edge as of late.',ham
'Well you pay over like  &lt;#&gt; yrs so its not too difficult',ham
'U coming 2 pick me?',ham
'Meeting u is my work. . . Tel me when shall i do my work tomorrow',ham
'I can take you at like noon',ham
Yup,ham
'Doesnt g have class early tomorrow and thus shouldnt be trying to smoke at  &lt;#&gt;',ham
'Cool. Do you like swimming? I have a pool and jacuzzi at my house.',ham
'Nah I dont think he goes to usf, he lives around here though',ham
'Great. Never been better. Each day gives even more reasons to thank God',ham
'Ard 530 like dat lor. We juz meet in mrt station then ü dun haf to come out.',ham
'Call me when you get the chance plz &lt;3',ham
'Yup its at paragon... I havent decided whether 2 cut yet... Hee...',ham
'What was she looking for?',ham
'There are no other charges after transfer charges and you can withdraw anyhow you like',ham
'Otherwise had part time job na-tuition..',ham
'I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...',ham
'K...k[EMOJI]why cant you come here and search job[EMOJI]',ham
'Be sure to check your yahoo email. We sent photos yesterday',ham
'Are you the cutest girl in the world or what',ham
'In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8',ham
'Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually im done shes styling my hair now.',ham
'How much are we getting?',ham
'God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!',ham
'The battery is for mr adewale my uncle. Aka Egbon',ham
'What Im saying is if you havent explicitly told nora I know someone Im probably just not gonna bother',ham
'Ok. Very good. Its all about making that money.',ham
'Hi.what you think about match?',ham
'Yes but i dont care! I need you bad, princess!',ham
'K still are you loving me.',ham
'Saw Guys and Dolls last night with Patrick Swayze it was great',ham
'Oh ho. Is this the first time u use these type of words',ham
'i dnt wnt to tlk wid u',ham
'Hi. Im sorry i missed your call. Can you pls call back.',ham
'None of thats happening til you get here though',ham
'U dont know how stubborn I am. I didnt even want to go to the hospital. I kept telling Mark Im not a weak sucker. Hospitals are for weak suckers.',ham
'Why dont you wait til at least wednesday to see if you get your .',ham
'U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.',ham
'Ta-Daaaaa! I am home babe, are you still up ?',ham
'Sorry, Ill call later',ham
'Hanging out with my brother and his family',ham
'Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous',ham
'S[EMOJI]if we have one good partnership going we will take lead[EMOJI]',ham
'Same, Im at my great aunts anniversary party in tarpon springs',ham
'I‘ve got some salt, you can rub it in my open wounds if you like!',ham
'Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...',ham
'Haf u eaten? Wat time u wan me 2 come?',ham
'K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...',ham
'Hello baby, did you get back to your moms ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*',ham
'As in i want custom officer discount oh.',ham
'By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x',ham
'Please dont say like that. Hi hi hi',ham
'Shopping lor. Them raining mah hard 2 leave orchard.',ham
'Awesome, that gonna be soon or later tonight?',ham
'Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am',ham
'And that is the problem. You walk around in \"julianaland\" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. Its not that you dont know why Im upset--its that you dont listen when i tell you WHAT is going to upset me. Then you want to be surprised when Im mad.',ham
'Daddy, shu shu is looking 4 u... U wan me 2 tell him ure not in singapore or wat?',ham
'Alright, Ill head out in a few minutes, text me where to meet you',ham
'ELLO BABE U OK?',ham
'Ooooooh I forgot to tell u I can get on yoville on my phone',ham
'K.i didt see you.[EMOJI]k[EMOJI]where are you now?',ham
'I am in a marriage function',ham
'Ok. So april. Cant wait',ham
'He didnt see his shadow. We get an early spring yay',ham
'Please tell me you have some of that special stock you were talking about',ham
'Mode men or have you left.',ham
'Is ur paper today in e morn or aft?',ham
'Aight, text me tonight and well see whats up',ham
'Anything lor if they all go then i go lor...',ham
'Id have to check but theres only like 1 bowls worth left',ham
'Please attend the phone[EMOJI]',ham
'A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..[EMOJI] GOODMORNING &amp; HAVE A SMILEY SUNDAY..[EMOJI]',ham
'Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...',ham
'Can. Dunno wat to get 4 her...',ham
'No just send to you. Bec you in temple na.',ham
'What is the plural of the noun research?',ham
'I know where the  &lt;#&gt;  is, Ill be there around 5',ham
'The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL',ham
'She said, do u mind if I go into the bedroom for a minute ?  OK, I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,',ham
'Wat time u finish ur lect today?',ham
'I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts',ham
'A little. Meds say take once every 8 hours. Its only been 5 but pain is back. So I took another. Hope I dont die',ham
'Mm umma ask vava also to come tell him can play later together',ham
'Ü neva tell me how i noe... Im not at home in da aft wat...',ham
'One of best dialogue in cute reltnship..!! \"Wen i Die, Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8',ham
'Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night',ham
'Some are lasting as much as 2 hours. You might get lucky.',ham
'Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And dont worry well have finished by march … ish!',ham
'Lmao. Take a pic and send it to me.',ham
'Did either of you have any ideas? Do you know of anyplaces doing something?',ham
'cool. We will have fun practicing making babies!',ham
'Great! I shoot big loads so get ready!',ham
'Did you say bold, then torch later. Or one torch and 2bold?',ham
'Why tired what special there you had',ham
'Ü give me some time to walk there.',ham
'Not from this campus. Are you in the library?',ham
'He is world famamus....',ham
'Have you got Xmas radio times. If not i will get it now',ham
'Gud mrng dear have a nice day',ham
'Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!',ham
'I had askd u a question some hours before. Its answer',ham
'Aight what time you want me to come up?',ham
'For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.',ham
'Hi Princess! Thank you for the pics. You are very pretty. How are you?',ham
'Am slow in using biolas fne',ham
'Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..',ham
'Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM',ham
'I dont run away frm u... I walk slowly &amp; it kills me that u dont care enough to stop me...',ham
'Sorry pa, i dont knw who ru pa?',ham
'Ok Im gonna head up to usf in like fifteen minutes',ham
'Already am squatting is the new way of walking',ham
'Where at were hungry too',ham
'Probably not, Im almost out of gas and I get some cash tomorrow',ham
'Youve always been the brainy one.',ham
'You call him now ok i said call him',ham
'Sorry * was at the grocers.',ham
'New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, Im always correct.!',ham
'Im at home. Please call',ham
'How are you doing. Hows the queen. Are you going for the royal wedding',ham
'How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.',ham
'Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.',ham
'I think ive fixed it can you send a test message?',ham
'Can you do a mag meeting this avo at some point?',ham
'Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...',ham
'You see the requirements please',ham
'will you like to be spoiled? [EMOJI]',ham
'Just wait till end of march when el nino gets himself. Oh.',ham
'Did you get any gift? This year i didnt get anything. So bad',ham
'Im leaving my house now.',ham
'Once free call me sir. I am waiting for you.',ham
'So hows the weather over there?',ham
'Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it dont matter',ham
'Beautiful tomorrow never comes.. When it comes, its already TODAY.. In the hunt of beautiful tomorrow dont waste your wonderful TODAY.. GOODMORNING[EMOJI]',ham
'Are you willing to go for apps class.',ham
'Is ur lecture over?',ham
'But if she.s drinkin im ok.',ham
'Yes but I dont care cause I know its there!',ham
'Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.',ham
'Goodmorning, today i am late for  &lt[EMOJI]ECIMAL&gt; min.',ham
'Then u drive lor.',ham
'Haha yeah I see that now, be there in a sec',ham
'Sorry, was in the bathroom, sup',ham
'Prabha..im soryda..realy..frm heart im sory',ham
'Yeah thats the impression I got',ham
'Haha i think i did too',ham
'Aight ill get on fb in a couple minutes',ham
'Okey dokey swashbuckling stuff what oh.',ham
'Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..',ham
'If he started searching he will get job in few days.he have great potential and talent.',ham
'Can you please send me my auntys number',ham
'Mmmm.... I cant wait to lick it!',ham
'Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.',ham
'No b4 Thursday',ham
'Come to medical college at 7pm ......forward it da',ham
'Do you want bold 2 or bb torch',ham
'Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?',ham
'Going for dinner.msg you after.',ham
'Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen',ham
'Y bishan lei... I tot ü say lavender?',ham
'New car and house for my parents.[EMOJI]i have only new job in hand[EMOJI]',ham
'I am waiting for your call sir.',ham
'Congrats. Thats great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing',ham
'Hello my little party animal! I just thought Id buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss',ham
'So check your errors and if you had difficulties, do correction.',ham
'Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem',ham
'U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...',ham
'But you dint in touch with me.',ham
'Havent found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...',ham
'Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb',ham
'yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke',ham
'Lol, oh you got a friend for the dog ?',ham
'So the sun is anti sleep medicine.',ham
'En chikku nange bakra msg kalstiya..then had tea/coffee?',ham
'Yeah imma come over cause jay wants to do some drugs',ham
'Don no da[EMOJI]whats you plan?',ham
'K...k[EMOJI]why cant you come here and search job[EMOJI]',ham
'Hi hope u r both ok, he said he would text and he hasnt, have u seen him, let me down gently please',ham
'Enjoy urself tmr...',ham
'Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola',ham
'Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.',ham
'Ive reached home n i bathe liao... U can call me now...',ham
'Dear are you angry i was busy dear',ham
Ok...,ham
'Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!',ham
'Hey are we going for the lo lesson or gym?',ham
'Sorry i missed your call. Can you please call back.',ham
'Well thats nice. Too bad i cant eat it',ham
'Loosu go to hospital. De dont let it careless.',ham
'jay says hell put in  &lt;#&gt;',ham
'You dont know you jabo me abi.',ham
'1 in cbe. 2 in chennai.',ham
'Cancel cheyyamo?and get some money back?',ham
'It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And shell be able to deliver and have basic care. Im currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.',ham
Ok...,ham
'Cool, Ill text you in a few',ham
'Oh k. . I will come tomorrow',ham
'I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?',ham
'Yup i thk so until e shop closes lor.',ham
'I like you peoples very much[EMOJI] but am very shy pa.',ham
'My sort code is  and acc no is . The bank is natwest. Can you reply to confirm ive sent this to the right person!',ham
'Taka lor. Wat time u wan 2 come n look 4 us?',ham
'Whats your room number again? Wanna make sure Im knocking on the right door',ham
'What is important is that you prevent dehydration by giving her enough fluids',ham
'Ü go home liao? Ask dad to pick me up at 6...',ham
'I wonder if youll get this text?',ham
'Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..',ham
'Also wheres the piece',ham
'Do you work all this week ?',ham
'Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?',ham
'I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob',ham
'No im not gonna be able to. || too late notice. || ill be home in a few weeks anyway. || what are the plans',ham
'Carlos is down but I have to pick it up from him, so Ill swing by usf in a little bit',ham
'Today is \"song dedicated day..\" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...',ham
'Its that time of the week again, ryan',ham
'Where to get those?',ham
'For my family happiness..',ham
'So what about you. What do you remember',ham
'Omg it could snow here tonite!',ham
'Rofl betta invest in some  anti aging products',ham
'He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary',ham
'Nope... Think i will go for it on monday... Sorry i replied so late',ham
'Waiting in e car 4 my mum lor. U leh? Reach home already?',ham
'She said, do u mind if I go into the bedroom for a minute ?  OK, I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,',ham
'I will lick up every drop [EMOJI] are you ready to use your mouth as well?',ham
'Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.',ham
'Whats happening with you. Have you gotten a job and have you begun registration for permanent residency',ham
'Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?',ham
'Omg Joanna is freaking me out. Shes looked thru all my friends to find photos of me. And then shes asking about stuff on my MySpace which I havent even logged on in like a year. :/',ham
'Wat r u doing now?',ham
'Will you come online today night',ham
'Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...',ham
'Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?',ham
'Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.',ham
'Yar lor actually we quite fast... Cos da ge slow wat... Haha...',ham
'Apart from the one i told you about yesterday?',ham
'R we going with the  &lt;#&gt;  bus?',ham
'Its ok chikku, and its my 1 of favourite song..[EMOJI]',ham
'Shall i come to get pickle',ham
'Lol yes. But it will add some spice to your day.',ham
'The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL',ham
'Am also doing in cbe only. But have to pay.',ham
'i thought we were doing a king of the hill thing there.',ham
'Nvm its ok...',ham
'I sent you the prices and do you mean the  &lt;#&gt; g,',ham
'A swt thought: \"Nver get tired of doing little things 4 lovable persons..\" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8',ham
'Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?',ham
'Aight fuck it, Ill get it later',ham
'Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.',ham
'Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola',ham
'No way Im going back there!',ham
'Lol I have to take it. member how I said my aunt flow didnt visit for 6 months? Its cause I developed ovarian cysts. Bc is the only way to shrink them.',ham
'Tell dear what happen to you. Why you talking to me like an alian',ham
Nite...,ham
'Kindly send some one to our flat before  &lt[EMOJI]ECIMAL&gt;  today.',ham
'So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da',ham
'No. But well do medical missions to nigeria',ham
'Im done...',ham
'Im in a meeting, call me later at',ham
'Company is very good.environment is terrific and food is really nice[EMOJI]',ham
'I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...',ham
'Ugh its been a long day. Im exhausted. Just want to cuddle up and take a nap',ham
'Yes. that will be fine. Love you. Be safe.',ham
'Its cool, let me know before it kicks off around  &lt;#&gt; , Ill be out and about all day',ham
'Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?[EMOJI]',ham
'Ok. Every night take a warm bath drink a cup of milk and youll see a work of magic. You still need to loose weight. Just so that you know',ham
'Hope you are having a great new semester. Do wish you the very best. You are made for greatness.',ham
'Went to pay rent. So i had to go to the bank to authorise the payment.',ham
'I cant keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* dont have to say no to visitors, then maybe thats the best choice. Yes, I wanted you to be embarassed, so maybe youd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. Ive tried everything. I dont know what else to do.',ham
'Even my brother is not like to speak with me. They treat me like aids patent.',ham
'Ü predict wat time üll finish buying?',ham
'Just sleeping..and surfing',ham
'Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..',ham
'Alright omw, gotta change my order to a half8th',ham
'She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.',ham
'I sent lanre fakeyes Eckankar details to the mail box',ham
'Went fast asleep dear.take care.',ham
'Well welp is sort of a semiobscure internet thing',ham
'You might want to pull out more just in case and just plan on not spending it if you can, I dont have much confidence in derek and taylors money management',ham
'Youll never believe this but i have actually got off at taunton. Wow',ham
'\"ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\"',ham
'Yup... I havent been there before... You want to go for the yoga? I can call up to book',ham
'I know you are. Can you pls open the back?',ham
'Haha figures, well I found the piece and priscillas bowl',ham
'If i said anything wrong sorry de[EMOJI]',ham
'Ok no problem... Yup im going to sch at 4 if i rem correctly...',ham
'Aiyah u did ok already lar. E nydc at wheellock?',ham
Okie,ham
'No, its true..k,Do u knw dis no. &lt;#&gt; ?',ham
'Doing nothing, then u not having dinner w us?',ham
'get ready to moan and scream [EMOJI]',ham
'Watching ajith film ah?',ham
'No. I.ll meet you in the library',ham
'Yeah I think my usual guys still passed out from last night, if you get ahold of anybody let me know and Ill throw down',ham
'I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo',ham
'I think u have the wrong number.',ham
'I will once i get home',ham
'2 and half years i missed your friendship[EMOJI]',ham
'o turns out i had stereo love on mi phone under the unknown album.',ham
'I sent you  &lt;#&gt;  bucks',ham
'Howz that persons story',ham
'Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.',ham
'Im job profile seems like bpo..',ham
'The greatest test of courage on earth is to bear defeat without losing heart....gn tc',ham
'You still at the game?',ham
'One small prestige problem now.',ham
'If i let you do this, i want you in the house by 8am.',ham
'In work now. Going have in few min.',ham
'You best watch what you say cause I get drunk as a motherfucker',ham
'That would be great. Well be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week',ham
'Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.',ham
'MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDNT BE A PROBLEM.',ham
'LOL what happens in Vegas stays in vegas',ham
'\"I;m reaching in another 2 stops.\"',ham
'And do you have any one that can teach me how to ship cars.',ham
'Hmm...my uncle just informed me that hes paying the school directly. So pls buy food.',ham
'I just really need shit before tomorrow and I know you wont be awake before like 6',ham
'Most of the tiime when i dont let you hug me its so i dont break into tears.',ham
'But you were together so you should be thinkin about him',ham
'Big brother‘s really scraped the barrel with this shower of social misfits',ham
'I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.',ham
'Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.',ham
Ok,ham
'Havent still waitin as usual... Ü come back sch oredi?',ham
'Sorry, my battery died, I can come by but Im only getting a gram for now, wheres your place?',ham
'Boo Im on my way to my moms. Shes making tortilla soup. Yummmm',ham
'Even if he my friend he is a priest call him now',ham
'Have you laid your airtel line to rest?',ham
'Ugh my leg hurts. Musta overdid it on mon.',ham
'Pls send me your address sir.',ham
'\"Thinking of u [EMOJI] x\"',ham
'There are many company. Tell me the language.',ham
